clause_master_id,book_id,book_name,chapter_title,topic_name,section_title,clause_no,clause_type,title,original_text,linked_formulas,linked_formula_ids,linked_symptoms,source_pdf_pages,source_pdf,source_priority,parse_method,review_status,evidence_text
clause_jg_302c31609e,jingui,金匱要略,下痢,下痢,預後診斷｜陽氣衰,24.0,預後診斷,預後診斷｜陽氣衰,夫六腑氣絕於外者，手足寒，上氣，腳縮；五臟氣絕於內者，利不禁，下甚者，手足 不仁。(24),,,手足寒,122,2_1_1_臨床一-金匱要略分章筆記(100-1_114-2).pdf,pdf_primary_structured_zip_seed,structured_jingui_v028_clause_rows_split_by_clause_no,usable,"夫六腑氣絕於外者，手足寒，上氣，腳縮；五臟氣絕於內者，利不禁，下甚者，手足
不仁。(24)"
clause_jg_d16dece77a,jingui,金匱要略,下痢,下痢,預後診斷｜下利自癒與未解之脈證,25.0,預後診斷,預後診斷｜下利自癒與未解之脈證,下利脈沉弦者，下重；脈大者，為未止，脈微弱數者，為欲自止，雖發熱不死。(25),,,脈微弱；脈沉弦；發熱；下利；脈大,122,2_1_1_臨床一-金匱要略分章筆記(100-1_114-2).pdf,pdf_primary_structured_zip_seed,structured_jingui_v028_clause_rows_split_by_clause_no,usable,下利脈沉弦者，下重；脈大者，為未止，脈微弱數者，為欲自止，雖發熱不死。(25)
clause_jg_412344c899,jingui,金匱要略,下痢,下痢,預後診斷｜陽氣衰,26.0,預後診斷,預後診斷｜陽氣衰,下利，手足厥冷，無脈者，灸之不溫。若脈不還，反微喘者，死。少陰負趺陽者，為 順也。(26),,,手足厥冷；脈不還；反微喘；下利,122,2_1_1_臨床一-金匱要略分章筆記(100-1_114-2).pdf,pdf_primary_structured_zip_seed,structured_jingui_v028_clause_rows_split_by_clause_no,usable,"下利，手足厥冷，無脈者，灸之不溫。若脈不還，反微喘者，死。少陰負趺陽者，為
順也。(26)"
clause_jg_30922f05f7,jingui,金匱要略,下痢,下痢,預後診斷｜下利自癒與未解之脈證,27.0,預後診斷,預後診斷｜下利自癒與未解之脈證,下利，有微熱而渴，脈弱者，今自愈。(27),,,今自愈；有微熱；脈弱；下利,122,2_1_1_臨床一-金匱要略分章筆記(100-1_114-2).pdf,pdf_primary_structured_zip_seed,structured_jingui_v028_clause_rows_split_by_clause_no,usable,下利，有微熱而渴，脈弱者，今自愈。(27)
clause_jg_b778dd9993,jingui,金匱要略,下痢,下痢,預後診斷｜下利自癒與未解之脈證,28.0,預後診斷,預後診斷｜下利自癒與未解之脈證,下利脈數，有微熱，汗出，今自愈；設脈緊為未解。(28),,,設脈緊為未解；今自愈；有微熱；脈數；下利；汗出,122,2_1_1_臨床一-金匱要略分章筆記(100-1_114-2).pdf,pdf_primary_structured_zip_seed,structured_jingui_v028_clause_rows_split_by_clause_no,usable,下利脈數，有微熱，汗出，今自愈；設脈緊為未解。(28)
clause_jg_c9af664261,jingui,金匱要略,下痢,下痢,預後診斷｜下利自癒與未解之脈證,29.0,預後診斷,預後診斷｜下利自癒與未解之脈證,下利，脈數而渴者，今自愈；設不差，必圊膿血，以有熱故也。(29),,,以有熱故；今自愈；脈數；下利,122,2_1_1_臨床一-金匱要略分章筆記(100-1_114-2).pdf,pdf_primary_structured_zip_seed,structured_jingui_v028_clause_rows_split_by_clause_no,usable,下利，脈數而渴者，今自愈；設不差，必圊膿血，以有熱故也。(29)
clause_jg_b643554300,jingui,金匱要略,下痢,下痢,預後診斷｜下利自癒與未解之脈證,30.0,預後診斷,預後診斷｜下利自癒與未解之脈證,下利脈反弦，發熱身汗者，自愈。(30),,,發熱身汗；自愈；下利,122,2_1_1_臨床一-金匱要略分章筆記(100-1_114-2).pdf,pdf_primary_structured_zip_seed,structured_jingui_v028_clause_rows_split_by_clause_no,usable,下利脈反弦，發熱身汗者，自愈。(30)
clause_jg_bb2afdccb8,jingui,金匱要略,下痢,下痢,下痢原文泄瀉虛寒性｜(36)｜氣利,31.0,原文,下痢原文泄瀉虛寒性｜(36)｜氣利,下利氣者，當利其小便。(31),,,下利,122,2_1_1_臨床一-金匱要略分章筆記(100-1_114-2).pdf,pdf_primary_structured_zip_seed,structured_jingui_v028_clause_rows_split_by_clause_no,usable,"下利氣者，當利其小便。(31)
氣利，訶黎勒散主之。(47)
註釋：下利氣，指下利而又矢氣，氣隨利矢，頻頻不已，故又稱氣利。"
clause_jg_472f2f5d3b,jingui,金匱要略,下痢,下痢,下痢原文泄瀉虛寒性｜(36)｜痢疾熱痢,32.0,原文,下痢原文泄瀉虛寒性｜(36)｜痢疾熱痢,下利，寸脈反浮數，尺中自澀者、必圊膿血。(32),,,下利,122,2_1_1_臨床一-金匱要略分章筆記(100-1_114-2).pdf,pdf_primary_structured_zip_seed,structured_jingui_v028_clause_rows_split_by_clause_no,usable,下利，寸脈反浮數，尺中自澀者、必圊膿血。(32)
clause_jg_4847e9214a,jingui,金匱要略,下痢,下痢,下痢原文泄瀉虛寒性｜(36),33.0,原文,下痢原文泄瀉虛寒性｜(36),下利清穀，不可攻其表，汗出必脹滿。(33),,,下利清穀；汗出,122,2_1_1_臨床一-金匱要略分章筆記(100-1_114-2).pdf,pdf_primary_structured_zip_seed,structured_jingui_v028_clause_rows_split_by_clause_no,usable,下利清穀，不可攻其表，汗出必脹滿。(33)
