formula_id,canonical_name,formula_type_inferred,formula_family_id,alias_list,alias_count,component_count_display_ready,component_source_formula_count,unique_question_count,question_event_count,out_relation_count,in_relation_count,as_base_variant_count,as_variant_to_base_count,canonical_confidence,review_count,ontology_policy
can_2849adeebb,桂枝湯,base_or_family_formula,ffam_54e01fe1716b,桂枝湯|桂枝湯【傷寒|桂枝湯【金匱,3,0,0,184.0,221.0,34.0,51.0,23,3,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_4ec3299305,五苓散,standard_or_unspecified_formula,ffam_191cdf219232,五苓散|五苓散【傷寒|五苓散【金匱,3,0,0,153.0,181.0,36.0,38.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_2ff0ddd4f5,白虎湯,base_or_family_formula,ffam_eec4b5543b92,白虎湯,1,0,0,140.0,161.0,42.0,22.0,2,1,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_4bd7a9684a,四逆湯,base_or_family_formula,ffam_b4881645aec1,四逆湯|四逆湯【傷寒|四逆湯【金匱,3,0,0,128.0,153.0,24.0,20.0,3,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_b8804ab23f,大承氣湯,standard_or_unspecified_formula,ffam_af376baf019c,大承氣湯|大承氣湯【傷寒|大承氣湯【金匱,3,0,0,122.0,140.0,30.0,19.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_1a0df3ae93,小柴胡湯,standard_or_unspecified_formula,ffam_81f8d2984eed,小柴胡湯|小柴胡湯【傷寒|小柴胡湯【金匱|柴胡湯,4,0,0,118.0,127.0,34.0,9.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_0a5b7e34af,小青龍湯,base_or_family_formula,ffam_486eee07c16a,小青龍湯|小青龍湯【傷寒|小青龍湯【金匱,3,0,0,95.0,113.0,50.0,40.0,2,1,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_a2aaa3190c,麻黃湯,standard_or_unspecified_formula,ffam_f724d32201f4,麻黃湯,1,0,0,91.0,103.0,18.0,17.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_07468b2497,調胃承氣湯,standard_or_unspecified_formula,ffam_f7cd7fb854e6,調胃承氣湯,1,0,0,87.0,94.0,38.0,11.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_29712407d7,白虎加人參湯,base_or_family_formula,ffam_eec4b5543b92,白虎人參湯|白虎加人參湯|白虎加人參湯【傷寒|白虎加人參湯【金匱,4,0,0,81.0,96.0,42.0,14.0,1,2,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_f7fe3e3a3d,半夏瀉心湯,standard_or_unspecified_formula,ffam_8b3c00f05941,半夏瀉心湯|半夏瀉心湯【傷寒|半夏瀉心湯【金匱,3,0,0,81.0,84.0,40.0,20.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_bfd282c938,銀翹散,standard_or_unspecified_formula,ffam_e4a82fd2cc62,銀翹散,1,10.0,0,80.0,82.0,49.0,28.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_137cbfe2fb,歸脾湯,standard_or_unspecified_formula,ffam_d6015e4a45e6,歸脾湯,1,12.0,0,79.0,80.0,47.0,63.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_2894f9f3f7,黃連阿膠湯,base_or_family_formula,ffam_a34f6830aae5,黃連阿膠湯,1,0,0,77.0,77.0,35.0,36.0,1,2,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_2482e4b13d,梔子豉湯,standard_or_unspecified_formula,ffam_d91a5cb7ed9a,梔子豆豉湯|梔子豉湯|梔子豉湯【傷寒|梔子豉湯【金匱|梔子鼓湯,5,0,0,76.0,86.0,19.0,11.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_49e2e4cbd9,知柏地黃丸,base_or_family_formula,ffam_a34f6830aae5,知柏八味丸,1,8.0,0,73.0,73.0,38.0,45.0,1,0,high_or_seeded,1,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_928a9baaaa,龍膽瀉肝湯,standard_or_unspecified_formula,ffam_e554b9a9f2ee,,0,10.0,0,70.0,70.0,36.0,50.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_00d802f1e5,苓桂朮甘湯,standard_or_unspecified_formula,ffam_3d0d42a13af7,苓桂朮甘湯|苓桂朮甘湯腎氣丸,2,0,0,68.0,73.0,31.0,32.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_f6133068f5,金匱腎氣丸,standard_or_unspecified_formula,ffam_b06d9c8c3a32,八味丸|八味地黃丸|八味地黃丸《丸|八味腎氣丸|腎氣丸|腎氣丸【傷寒|腎氣丸【金匱,7,5.0,0,65.0,68.0,56.0,50.0,0,0,high_or_seeded,1,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_615ab27c27,豬苓湯,standard_or_unspecified_formula,ffam_2561aa1afbb8,豬苓湯|豬苓湯【傷寒|豬苓湯【金匱,3,0,0,63.0,75.0,21.0,11.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_a600d0b107,安宮牛黃丸,standard_or_unspecified_formula,ffam_d164c8d74e31,,0,11.0,0,63.0,75.0,45.0,17.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_1058a353ca,溫膽湯,base_or_family_formula,ffam_bfdef1995e01,溫膽湯,1,8.0,0,63.0,63.0,29.0,42.0,2,1,high_or_seeded,1,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_9c9eb17b0c,補中益氣湯,standard_or_unspecified_formula,ffam_c48f317159b6,,0,8.0,0,63.0,63.0,29.0,42.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_a1400e6cd2,大青龍湯,standard_or_unspecified_formula,ffam_b20dea81aac3,大青龍湯|大青龍湯【傷寒|大青龍湯【金匱,3,0,0,62.0,73.0,38.0,16.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_3d655bf013,葛根湯,base_or_family_formula,ffam_09284e487f63,葛根湯|葛根湯【傷寒|葛根湯【金匱,3,0,0,62.0,70.0,41.0,17.0,1,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_7008adbe0b,理中湯,standard_or_unspecified_formula,ffam_5131429644ee,理中湯,1,4.0,0,61.0,64.0,23.0,42.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_17b038dbde,小建中湯,base_or_family_formula,ffam_01badad2457a,小建中湯|小建中湯【傷寒|小建中湯【金匱,3,1.0,0,56.0,59.0,39.0,24.0,1,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_c343468943,真武湯,standard_or_unspecified_formula,ffam_d844b14a40cd,真武湯,1,0,0,55.0,56.0,33.0,18.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_0c7a0c0c52,生脈散,standard_or_unspecified_formula,ffam_c33c6efbd387,,0,3.0,0,55.0,56.0,26.0,32.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_a1985a28fe,大柴胡湯,standard_or_unspecified_formula,ffam_684123a46f36,大柴胡湯|大柴胡湯【傷寒|大柴胡湯【金匱,3,0,0,51.0,60.0,26.0,11.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_5c864669bd,吳茱萸湯,standard_or_unspecified_formula,ffam_e05e91822fb2,吳茱萸湯,1,0,0,48.0,56.0,12.0,8.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_f3ad66a19d,十棗湯,standard_or_unspecified_formula,ffam_475171483f19,十棗湯|十棗湯【傷寒|十棗湯【金匱,3,1.0,0,48.0,50.0,23.0,12.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_1a91e01bb6,瀉心湯,standard_or_unspecified_formula,ffam_b8ff6d76ac32,瀉心湯|瀉心湯【傷寒|瀉心湯【金匱,3,0,0,47.0,74.0,17.0,18.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_da7e4cc455,竹葉石膏湯,standard_or_unspecified_formula,ffam_4e78c4df1f58,竹葉石膏湯,1,1.0,0,47.0,49.0,39.0,17.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_239d9dd90c,六味地黃丸,base_or_family_formula,ffam_a34f6830aae5,,0,6.0,0,47.0,48.0,28.0,47.0,1,4,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_a0ae55f4fa,炙甘草湯,standard_or_unspecified_formula,ffam_b57b5d735480,復脈湯|復脉湯|炙甘草湯,3,0,0,47.0,48.0,38.0,23.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_2580e7bb40,甘露消毒丹,standard_or_unspecified_formula,ffam_e4dcc1041702,,0,11.0,0,45.0,45.0,36.0,18.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_a26ad2322b,防己黃耆湯,standard_or_unspecified_formula,ffam_dc4e47cb0011,防己黃耆湯|防己黃耆湯芍藥,2,0,0,44.0,51.0,9.0,4.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_fac67569c9,小承氣湯,standard_or_unspecified_formula,ffam_cc5c9f0fb744,小承氣湯|小承氣湯【傷寒|小承氣湯【金匱,3,0,0,44.0,44.0,27.0,18.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_11513e5db9,茵陳蒿湯,standard_or_unspecified_formula,ffam_14f1a674cd22,茵陳蒿湯|茵陳蒿湯【傷寒|茵陳蒿湯【金匱,3,1.0,0,43.0,44.0,26.0,30.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_62b7450c5b,柴胡疏肝散,standard_or_unspecified_formula,ffam_7a4922c04420,,0,7.0,0,42.0,42.0,21.0,30.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
