link_id,clause_master_id,book_id,clause_no,formula_name,formula_canonical_id,relation_type,evidence_text,source_pdf_pages
k3_clause_formula_33939e9f90,clause_jg_c9be4800a5,jingui,37.0,大承氣湯,can_b8804ab23f,classic_clause_uses_formula,下利，三部脈皆平，按之心下堅者，急下之，宜大承氣湯。(37),122
k3_clause_formula_67d66e7e8e,clause_jg_e2d149f051,jingui,38.0,大承氣湯,can_b8804ab23f,classic_clause_uses_formula,下利脈遲而滑者，實也，利未欲止，急下之，宜大承氣湯。(38),122
k3_clause_formula_b804f3537d,clause_jg_aad88ccc2f,jingui,39.0,大承氣湯,can_b8804ab23f,classic_clause_uses_formula,下利脈反滑者，當有所去，下乃愈，宜大承氣湯。(39),122
k3_clause_formula_cf1a794ea5,clause_jg_602ab7b6fb,jingui,40.0,大承氣湯,can_b8804ab23f,classic_clause_uses_formula,下利已差，至其年月日時復發者，以病不盡故也。當下之，宜大承氣湯。(40),122
k3_clause_formula_47acd008b4,clause_jg_cdced7aed6,jingui,41.0,小承氣湯,can_fac67569c9,classic_clause_uses_formula,下利譫語者，有燥屎也，小承氣湯主之。(41),122
k3_clause_formula_433b22beae,clause_jg_1f83c7c085,jingui,42.0,桃花湯,can_4f746eced5,classic_clause_uses_formula,下利便膿血者、桃花湯主之。(42),122
k3_clause_formula_a0f46554e0,clause_jg_7f6f5375aa,jingui,43.0,白頭翁湯,can_922833cbb5,classic_clause_uses_formula,熱利下重者，白頭翁湯主之。(43),122
k3_clause_formula_b0685a0531,clause_jg_888d58f2c7,jingui,45.0,通脈四逆湯,can_eaa4fac2c8,classic_clause_uses_formula,下利清穀，裏寒外熱，汗出而厥者，通脈四逆湯主之。(45),122
k3_clause_formula_6d5543b3ee,clause_jg_d5f3db3bcf,jingui,47.0,訶黎勒散,can_72d716e5f7,classic_clause_uses_formula,氣利，訶黎勒散主之。(47),122
k3_clause_formula_74f9f31e09,clause_jg_505077ce20,jingui,,桂枝湯,can_2849adeebb,classic_clause_uses_formula,下利腹脹滿，身體疼痛者，先溫其裏，乃攻其表。溫裏宜四逆湯，攻表宜桂枝湯。,122
