state_row_id,book_id,topic_or_disease,topic_canonical_id,stage,state_name,state_canonical_id,symptoms_text,formulas,formula_canonical_ids,treatment_method,source_ref_id,source_pdf,evidence_text,parse_method,confidence,review_status
wb_state_fe57150ba4,wenbing,伏暑,can_fca00c6700,衛氣,氣分兼表,,頭痛惡寒、發熱無汗、心煩口渴、小溲短赤、脘痞苔膩,黃連香薷飲；銀翹散,can_b8ca5cba56；can_bfd282c938,,src_patch_wenbing_state_1f0775b8a2,2_1_3_臨床一-溫病學分章精要筆記(103-1_109-2).pdf,伏暑｜氣分兼表；症狀：頭痛惡寒、發熱無汗、心煩口渴、小溲短赤、脘痞苔膩；方劑：黃連香薷飲、銀翹散。,phaseK1_structured_state_crosswalk_pdf_primary,high_seed_pdf_traceable,usable
wb_state_2d14dc8bea,wenbing,伏暑,can_fca00c6700,氣分,濕熱挾滯阻於胃腸,,胸腹灼熱、嘔噁、便溏不爽、色黃如醬、苔黃垢膩,枳實導滯湯,can_b26c1465ff,,src_patch_wenbing_state_d6b5dde60b,2_1_3_臨床一-溫病學分章精要筆記(103-1_109-2).pdf,伏暑｜濕熱挾滯阻於胃腸；症狀：胸腹灼熱、嘔噁、便溏不爽、色黃如醬、苔黃垢膩；方劑：枳實導滯湯。,phaseK1_structured_state_crosswalk_pdf_primary,high_seed_pdf_traceable,usable
wb_state_8e90e2e37c,wenbing,伏暑,can_fca00c6700,營分,熱在心營下移小腸,,發熱日輕夜重、心煩不寐、口乾、渴不欲飲、小溲短赤熱痛、舌絳,導赤清心湯,can_ca4c878ef7,,src_patch_wenbing_state_7c884ecb65,2_1_3_臨床一-溫病學分章精要筆記(103-1_109-2).pdf,伏暑｜熱在心營下移小腸；症狀：發熱日輕夜重、心煩不寐、口乾、渴不欲飲、小溲短赤熱痛、舌絳；方劑：導赤清心湯。,phaseK1_structured_state_crosswalk_pdf_primary,high_seed_pdf_traceable,usable
wb_state_3452cedf03,wenbing,伏暑,can_fca00c6700,營血,熱閉心包血絡瘀滯,,發熱夜甚、神昏譫語、漱水不欲嚥、舌絳無苔、望之若乾捫之尚潤、紫晦而潤,犀地清絡飲,can_c99aa27fae,,src_patch_wenbing_state_61210a4fe5,2_1_3_臨床一-溫病學分章精要筆記(103-1_109-2).pdf,伏暑｜熱閉心包血絡瘀滯；症狀：發熱夜甚、神昏譫語、漱水不欲嚥、舌絳無苔、望之若乾捫之尚潤、紫晦而潤；方劑：犀地清絡飲。,phaseK1_structured_state_crosswalk_pdf_primary,high_seed_pdf_traceable,usable
wb_state_e7ad42d5d9,wenbing,伏暑,can_fca00c6700,衛營,營分兼表,,發熱微惡寒、頭痛少汗、口乾不渴、心煩、舌赤無苔,銀翹散,can_bfd282c938,,src_patch_wenbing_state_2f78e8152e,2_1_3_臨床一-溫病學分章精要筆記(103-1_109-2).pdf,伏暑｜營分兼表；症狀：發熱微惡寒、頭痛少汗、口乾不渴、心煩、舌赤無苔；方劑：銀翹散。,phaseK1_structured_state_crosswalk_pdf_primary,high_seed_pdf_traceable,usable
wb_state_79f013afd5,wenbing,伏暑,can_fca00c6700,衛氣,發於氣分兼表,,寒熱如瘧、胸腹灼熱、大便溏而不爽色如醬、暑濕內伏兼表,蒿芩清膽湯,can_53bf54bb08,,src_patch_wenbing_state_ab96e4848f,2_1_3_臨床一-溫病學分章精要筆記(103-1_109-2).pdf,伏暑｜發於氣分兼表；症狀：寒熱如瘧、胸腹灼熱、大便溏而不爽色如醬、暑濕內伏兼表；方劑：蒿芩清膽湯。,phaseK1_structured_state_crosswalk_pdf_primary,high_seed_pdf_traceable,usable
wb_state_4d37d62664,wenbing,伏暑,can_fca00c6700,衛營,發於營分兼表,,營分鬱熱、兼表證、心煩、夜熱、舌赤,導赤清心湯,can_ca4c878ef7,,src_patch_wenbing_state_cf788f5fe8,2_1_3_臨床一-溫病學分章精要筆記(103-1_109-2).pdf,伏暑｜發於營分兼表；症狀：營分鬱熱、兼表證、心煩、夜熱、舌赤；方劑：導赤清心湯。,phaseK1_structured_state_crosswalk_pdf_primary,high_seed_pdf_traceable,usable
wb_state_a868811fe1,wenbing,伏暑,can_fca00c6700,氣分/少陽,邪在少陽膽經,,寒熱似瘧、口渴心煩、脘痞苔膩、身熱午後較重、入暮尤劇、天明得汗諸證稍減、胸腹灼熱始終不除,蒿芩清膽湯,can_53bf54bb08,,src_patch_wenbing_state_4e0d5e8429,2_1_3_臨床一-溫病學分章精要筆記(103-1_109-2).pdf,伏暑｜邪在少陽膽經；症狀：寒熱似瘧、口渴心煩、脘痞苔膩、身熱午後較重、入暮尤劇、天明得汗諸證稍減、胸腹灼熱始終不除；方劑：蒿芩清膽湯。,phaseK1_structured_state_crosswalk_pdf_primary,high_seed_pdf_traceable,usable
wb_state_10ab59f877,wenbing,伏暑,can_fca00c6700,氣分,陽明腑實小腸熱結,,身熱、煩渴、腹滿痛拒按、小便短赤而痛、苔黃燥,導赤承氣湯,can_545cfc2c10,,src_patch_wenbing_state_757b83858d,2_1_3_臨床一-溫病學分章精要筆記(103-1_109-2).pdf,伏暑｜陽明腑實小腸熱結；症狀：身熱、煩渴、腹滿痛拒按、小便短赤而痛、苔黃燥；方劑：導赤承氣湯。,phaseK1_structured_state_crosswalk_pdf_primary,high_seed_pdf_traceable,usable
wb_state_3502d0ebb5,wenbing,春溫,can_70ad62f0a0,氣營/血,氣血兩燔,can_28ecb71598,壯熱口渴、煩躁不寧、苔黃舌絳、肌膚發斑、吐血衄血,加減玉女煎；化斑湯,can_93607d801b；can_72309e1018,,src_patch_wenbing_state_acaf9d72d2,2_1_3_臨床一-溫病學分章精要筆記(103-1_109-2).pdf,春溫｜氣血兩燔；症狀：壯熱口渴、煩躁不寧、苔黃舌絳、肌膚發斑、吐血衄血；方劑：加減玉女煎、化斑湯。,phaseK1_structured_state_crosswalk_pdf_primary,high_seed_pdf_traceable,usable
