structured_row_id,book_id,book_name,system_chapter,disease_section,source_section,pdf_page,line_no,table_title,pattern_name,pattern_canonical_id,symptoms_text,pathogenesis_text,treatment_method,formulas,formula_canonical_ids,evidence_text,source_pdf,parse_method,confidence,review_status
zz_row_4cf7171c29,zhengzhi,中醫證治學,第五章 肺系病證,感冒,第一節 感冒,8,73,,,,苔淡黃膩,,清暑袪濕解表；辛涼解表；辛溫解表,蔥豉桔梗湯；荊防達表湯；新加香薷飲；荊防敗毒散；銀翹散,can_587db51ddb；can_44e14485e9；can_3ef5308d66；can_79538de35a；can_bfd282c938,薄白 | 薄白而乾，或薄黃邊尖紅 | 苔淡黃膩或黃膩 | 脈象 | 浮或兼緊 | 浮數 | 濡數 | 治法 | 辛溫解表 | 辛涼解表 | 清暑袪濕解表 | 主方 | 荊防達表湯 | 荊防敗毒散 | 銀翹散 | 蔥豉桔梗湯 | 新加香薷飲 | 《虛體感冒辨證論治》 | 證型 | 證候,2_1_4_臨床一-中醫證治學分章精要筆記(103-1_109-2)_舊版.pdf,pdf_text_formula_anchor_context,low_context,needs_sample_review
zz_row_8c2be9663c,zhengzhi,中醫證治學,第五章 肺系病證,感冒,第一節 感冒,8,76,,氣虛,can_1968142cd7,,,清暑袪濕解表；辛涼解表；辛溫解表,蔥豉桔梗湯；荊防達表湯；新加香薷飲；荊防敗毒散；銀翹散,can_587db51ddb；can_44e14485e9；can_3ef5308d66；can_79538de35a；can_bfd282c938,脈象 | 浮或兼緊 | 浮數 | 濡數 | 治法 | 辛溫解表 | 辛涼解表 | 清暑袪濕解表 | 主方 | 荊防達表湯 | 荊防敗毒散 | 銀翹散 | 蔥豉桔梗湯 | 新加香薷飲 | 《虛體感冒辨證論治》 | 證型 | 證候 | 治法 | 主方 | 氣虛,2_1_4_臨床一-中醫證治學分章精要筆記(103-1_109-2)_舊版.pdf,pdf_text_formula_anchor_context,medium_high,usable
zz_row_f2bb764323,zhengzhi,中醫證治學,第五章 肺系病證,感冒,第一節 感冒,8,87,《虛體感冒辨證論治》,血虛,can_3f426ee9ca,無汗或少汗；舌淡胖苔白；脈浮而無力；微惡風寒；唇甲色淡；脈沉無力；頭痛身熱；惡寒較甚；頭痛身痛；喀痰無力；舌苔淡白；身楚倦怠；四肢不溫；面色不華；語聲低微；發熱輕；惡寒重；心悸；咳嗽；發熱；無汗；陽虛；面白；自汗,,,麻黃附子細辛湯；蔥豉桔梗湯；新加香薷飲；銀翹散；參蘇飲,can_256ffa3f8f；can_587db51ddb；can_3ef5308d66；can_bfd282c938；can_de5e22c02f,銀翹散 | 蔥豉桔梗湯 | 新加香薷飲 | 《虛體感冒辨證論治》 | 證型 | 證候 | 治法 | 主方 | 氣虛 | 惡寒較甚，發熱，無汗，身楚倦怠，咳嗽，喀痰無力。 | 舌苔淡白，脈浮而無力 | 益氣解表 | 參蘇飲 | 陽虛 | 惡寒重，發熱輕，頭痛身痛、無汗，面白，語聲低微，四肢不溫， | 或自汗。舌淡胖苔白，脈沉無力。 | 助陽解表 | 麻黃附子細辛湯 | 血虛 | 頭痛身熱，微惡風寒，無汗或少汗，面色不華，唇甲色淡，心悸,2_1_4_臨床一-中醫證治學分章精要筆記(103-1_109-2)_舊版.pdf,pdf_text_formula_anchor_context,medium,usable
zz_row_8d2bbdf130,zhengzhi,中醫證治學,第五章 肺系病證,感冒,第一節 感冒,8,92,《虛體感冒辨證論治》,血虛,can_3f426ee9ca,脈細無力或浮；無汗或少汗；舌淡胖苔白；脈浮而無力；微惡風寒；唇甲色淡；脈沉無力；頭痛身熱；惡寒較甚；頭痛身痛；喀痰無力；舌苔淡白；舌淡苔白；身楚倦怠；四肢不溫；面色不華；語聲低微；發熱輕；惡寒重；心悸；咳嗽；發熱；無汗；陽虛；頭暈；面白；自汗,,,麻黃附子細辛湯；蔥白七味飲；參蘇飲,can_256ffa3f8f；can_1eb55ed9b4；can_de5e22c02f,證候 | 治法 | 主方 | 氣虛 | 惡寒較甚，發熱，無汗，身楚倦怠，咳嗽，喀痰無力。 | 舌苔淡白，脈浮而無力 | 益氣解表 | 參蘇飲 | 陽虛 | 惡寒重，發熱輕，頭痛身痛、無汗，面白，語聲低微，四肢不溫， | 或自汗。舌淡胖苔白，脈沉無力。 | 助陽解表 | 麻黃附子細辛湯 | 血虛 | 頭痛身熱，微惡風寒，無汗或少汗，面色不華，唇甲色淡，心悸 | 頭暈。舌淡苔白，脈細無力或浮 | 養血解表 | 蔥白七味飲 | 加減 | 陰虛,2_1_4_臨床一-中醫證治學分章精要筆記(103-1_109-2)_舊版.pdf,pdf_text_formula_anchor_context,medium,usable
zz_row_a4b9fd36aa,zhengzhi,中醫證治學,第五章 肺系病證,感冒,第一節 感冒,8,97,《虛體感冒辨證論治》,血虛,can_3f426ee9ca,脈細無力或浮；無汗或少汗；舌淡胖苔白；脈浮而無力；微惡風寒；唇甲色淡；乾咳痰少；脈沉無力；舌紅少苔；頭痛身熱；頭痛身痛；舌苔淡白；舌淡苔白；四肢不溫；面色不華；語聲低微；脈細數；發熱輕；惡寒重；身熱；心悸；少汗；口乾；無汗；陽虛；頭昏；頭暈；面白；自汗；心煩,,,麻黃附子細辛湯；蔥白七味飲；加減葳蕤湯；參蘇飲,can_256ffa3f8f；can_1eb55ed9b4；can_6c01965b86；can_de5e22c02f,舌苔淡白，脈浮而無力 | 益氣解表 | 參蘇飲 | 陽虛 | 惡寒重，發熱輕，頭痛身痛、無汗，面白，語聲低微，四肢不溫， | 或自汗。舌淡胖苔白，脈沉無力。 | 助陽解表 | 麻黃附子細辛湯 | 血虛 | 頭痛身熱，微惡風寒，無汗或少汗，面色不華，唇甲色淡，心悸 | 頭暈。舌淡苔白，脈細無力或浮 | 養血解表 | 蔥白七味飲 | 加減 | 陰虛 | 身熱，微惡風寒，少汗，頭昏，心煩，口乾，乾咳痰少， | 舌紅少苔，脈細數。 | 滋陰解表 | 加減葳蕤湯,2_1_4_臨床一-中醫證治學分章精要筆記(103-1_109-2)_舊版.pdf,pdf_text_formula_anchor_context,medium,usable
zz_row_1ea3356e55,zhengzhi,中醫證治學,第五章 肺系病證,感冒,第一節 感冒,8,103,,血虛,can_3f426ee9ca,脈細無力或浮；無汗或少汗；微惡風寒；舌紅少苔；舌淡苔白；唇甲色淡；頭痛身熱；乾咳痰少；面色不華；脈細數；心煩；少汗；頭暈；頭昏；口乾；身熱；心悸,,,麻黃附子細辛湯；蔥白七味飲；加減葳蕤湯,can_256ffa3f8f；can_1eb55ed9b4；can_6c01965b86,助陽解表 | 麻黃附子細辛湯 | 血虛 | 頭痛身熱，微惡風寒，無汗或少汗，面色不華，唇甲色淡，心悸 | 頭暈。舌淡苔白，脈細無力或浮 | 養血解表 | 蔥白七味飲 | 加減 | 陰虛 | 身熱，微惡風寒，少汗，頭昏，心煩，口乾，乾咳痰少， | 舌紅少苔，脈細數。 | 滋陰解表 | 加減葳蕤湯,2_1_4_臨床一-中醫證治學分章精要筆記(103-1_109-2)_舊版.pdf,pdf_text_formula_anchor_context,medium,usable
zz_row_f8aef16982,zhengzhi,中醫證治學,第五章 肺系病證,感冒,第一節 感冒,9,20,,痰濁阻肺,can_8c1f23933e,口渴不欲飲；頭昏重脹痛；骨節疼痛；小便短赤；身熱不揚；咳嗽聲重；惡寒無汗；苔黃膩；苔薄白；流清涕；胸悶；頭痛；身熱；咽癢；便溏；脈濡；咳嗽；痰黏；鼻塞；脈浮,,,荊防敗毒散；新加香薷飲；三子養親湯；銀翹散,can_79538de35a；can_3ef5308d66；can_7a66706a59；can_bfd282c938,歷屆考古題 | 解答 | 【103-2-臨床一-55】 | 感冒多見兼夾之證，今患者臨床症狀表現出「身熱不揚，頭脹如裹，骨節疼痛， | 胸悶」等症，試問其兼夾之證為何？ | (A)夾燥(B)夾食(C)夾濕(D)夾瘀 | C | 【105-1-臨床一-56】 | 陳先生，昨日午後頭昏重脹痛，四肢痠重，伴隨身熱稍有出汗，鼻涕白濁，咳嗽 | 痰黏色白稍黃，小便短赤，胸悶泛噁便溏，口渴不欲飲，苔黃膩脈濡。經診斷辨 | 證給予方劑治療，下列何者正確？ | (A)風寒束表肺衛失宣，荊防敗毒散(B)風熱犯表肺衛失和，銀翹散 | (C)暑濕傷表肺衛失暢，新加香薷飲(D)痰濁阻肺肺氣失降，三子養親湯 | C | 【106-2-臨床一-55】 | 張小姐，昨晚開始鼻塞打噴嚏流清涕，咽癢咳嗽聲重，惡寒無汗出，頭痛全身痠 | 痛，苔薄白脈浮，經診斷辨證給予方劑治療，下列何者正確？ | (A)風寒束表肺衛失宣，荊防敗毒散(B)風熱犯表肺衛失和，銀翹散 | (C)暑濕傷表肺衛失暢，新加香薷飲(D)痰濁阻肺肺氣失降，三子養親湯 | A,2_1_4_臨床一-中醫證治學分章精要筆記(103-1_109-2)_舊版.pdf,pdf_text_formula_anchor_context,medium,usable
zz_row_e5fa839ab7,zhengzhi,中醫證治學,第五章 肺系病證,感冒,第一節 感冒,10,12,,氣虛感冒,can_2c57a002a0,,,,參蘇飲,can_de5e22c02f,4 | 臨床二-中醫內科學題目整併 | 【108-1-臨床二-02】 | 感冒是感受觸冒風邪所導致的外感疾病，下列診治原則何者錯誤？ | (A)感冒偏寒偏熱俱不明顯時，可與辛平輕劑 | (B)感冒無論虛實之人，禁用補益之品，以免留邪 | (C)時行感冒傳染力強，以風熱為多見，治療時除應去風之外，當重用清熱解毒之品 | (D)風溫之為病，以風熱感冒見證為主 | 【解析】 | (A)(C)(D)為課本原文 | (B)若體虛感邪，往往反覆感冒，當以扶正祛邪為主，除根據感邪之不同而施用不同的解表法外， | 必須時時顧護正氣，隨證調補之。如氣虛感冒，治予益氣解表，方用參蘇飲加減。 | 方中用人參、甘草、茯苓補氣以祛邪，並非完全禁用補益之品，故答案選(B) | ★答案：B | 參考資料： | [1]陳榮洲（2016）。中醫內科證治學。弘祥出版社。p.55~p.58 | 歷屆考古題 | 解答 | 【104-1-臨床二-06】,2_1_4_臨床一-中醫證治學分章精要筆記(103-1_109-2)_舊版.pdf,pdf_text_formula_anchor_context,medium,usable
zz_row_447c203683,zhengzhi,中醫證治學,第五章 肺系病證,感冒,第一節 感冒,10,27,下列有關感冒的辨證論治，何者錯誤？,風熱證,can_24d61b7b1c,舌淡苔薄白；頭昏重脹痛；心煩口渴；口中黏膩；發熱惡寒；小便短赤；流黃濁涕；惡寒發熱；肢體痠楚；脈濡數；苔薄白；脈浮緊；脘痞；胸悶；頭痛；咽癢；舌淡；便溏；咽痛；體倦；鼻塞；汗出；身重；泛惡,,,羌活勝濕湯；新加香薷飲；藿香正氣散；荊防敗毒散；銀翹散；參蘇飲；桂枝湯,can_643641a607；can_3ef5308d66；can_bee70132d0；can_79538de35a；can_bfd282c938；can_de5e22c02f；can_2849adeebb,參考資料： | [1]陳榮洲（2016）。中醫內科證治學。弘祥出版社。p.55~p.58 | 歷屆考古題 | 解答 | 【104-1-臨床二-06】 | 55歲陳姓男患者，今晨起床後，出現頭身痠痛，汗出，輕微發熱惡寒，身體倦 | 怠，聲音低微乏力，舌淡苔薄白，脈診浮而無力，治以下列何方最適宜？ | (A)參蘇飲(B)桂枝湯(C)荊防敗毒散(D)羌活勝濕湯 | A | 【105-1-臨床二-01】 | 下列有關感冒的辨證論治，何者錯誤？ | (A)惡寒發熱，頭痛、身重、苔薄白，脈浮緊者屬風寒證。 | (B)風熱證可見鼻塞、流黃濁涕，咽痛，咳痰白黏或黃，銀翹散主之。 | (C)暑濕證可見頭昏重脹痛，肢體痠楚，舌淡黃膩，脈濡數。 | (D)暑濕證兼心煩口渴，小便短赤，胸悶，脘痞，泛惡，便溏，口中黏膩，渴不 | 多飲，藿香正氣散主之。 | D | 新加香薷飲主之。 | 【105-1-臨床二-03】 | 蔡小姐因上呼吸道感染，昨天咽癢咳甚，今天亦咽癢而咳至咽痛，咽不紅腫，痰,2_1_4_臨床一-中醫證治學分章精要筆記(103-1_109-2)_舊版.pdf,pdf_text_formula_anchor_context,medium,usable
zz_row_7684b5b2d4,zhengzhi,中醫證治學,第五章 肺系病證,感冒,第一節 感冒,10,30,下列有關感冒的辨證論治，何者錯誤？,痰熱壅肺,can_888631dd5d,舌淡苔薄白；頭昏重脹痛；心煩口渴；口中黏膩；發熱惡寒；小便短赤；流黃濁涕；惡寒發熱；肢體痠楚；脈濡數；苔薄白；脈浮緊；微惡寒；脘痞；胸悶；頭痛；咽癢；舌淡；便溏；咽痛；體倦；鼻塞；汗出；苔白；身重；泛惡,,,羌活勝濕湯；新加香薷飲；藿香正氣散；荊防敗毒散；銀翹散；參蘇飲；桂枝湯,can_643641a607；can_3ef5308d66；can_bee70132d0；can_79538de35a；can_bfd282c938；can_de5e22c02f；can_2849adeebb,解答 | 【104-1-臨床二-06】 | 55歲陳姓男患者，今晨起床後，出現頭身痠痛，汗出，輕微發熱惡寒，身體倦 | 怠，聲音低微乏力，舌淡苔薄白，脈診浮而無力，治以下列何方最適宜？ | (A)參蘇飲(B)桂枝湯(C)荊防敗毒散(D)羌活勝濕湯 | A | 【105-1-臨床二-01】 | 下列有關感冒的辨證論治，何者錯誤？ | (A)惡寒發熱，頭痛、身重、苔薄白，脈浮緊者屬風寒證。 | (B)風熱證可見鼻塞、流黃濁涕，咽痛，咳痰白黏或黃，銀翹散主之。 | (C)暑濕證可見頭昏重脹痛，肢體痠楚，舌淡黃膩，脈濡數。 | (D)暑濕證兼心煩口渴，小便短赤，胸悶，脘痞，泛惡，便溏，口中黏膩，渴不 | 多飲，藿香正氣散主之。 | D | 新加香薷飲主之。 | 【105-1-臨床二-03】 | 蔡小姐因上呼吸道感染，昨天咽癢咳甚，今天亦咽癢而咳至咽痛，咽不紅腫，痰 | 白黏稠，微惡寒，脈浮緊，苔白。下列診斷何者最適宜？ | (A)風寒束肺(B)風熱襲肺(C)痰熱壅肺(D)寒飲束肺 | A,2_1_4_臨床一-中醫證治學分章精要筆記(103-1_109-2)_舊版.pdf,pdf_text_formula_anchor_context,medium,usable
