variant_relation_id,variant_formula_id,variant_formula_name,base_formula_id,base_formula_name,relation_type_original,relation_type_normalized,evidence_class,evidence_text,source_ref_id,source_book,confidence_label,confidence_score,origin,added_herbs_text_candidate,removed_herbs_text_candidate,merge_policy,added_herbs_computed_v4_6,removed_herbs_computed_v4_6,dose_or_processing_changes_v4_6,delta_summary_v4_6,delta_basis_v4_6
vrel_v39_wuling_yinchen_addition,can_9225c672aa,茵陳五苓散,can_4ec3299305,五苓散,named_variant_from_base_formula,addition_of,official_and_classic_formula_relation,《金匱要略》原方作「茵陳蒿末十分，五苓散五分」；衛福部處方展開為茵陳蒿、澤瀉、豬苓、茯苓、白朮、桂枝。故以五苓散為母方、茵陳五苓散為加茵陳蒿之命名變方。,mohw_068_and_classic_jingui,金匱要略／衛福部中醫藥司,high,0.96,v3.9_manual_repair,茵陳蒿,,manual_verified_v3_9,茵陳蒿,,澤瀉:7.5->2.5；豬苓:4.5->1.5；茯苓:4.5->1.5；白朮:4.5->1.5；桂枝:3->1,加：茵陳蒿；劑量／炮製調整：澤瀉（7.5→2.5）、豬苓（4.5→1.5）、茯苓（4.5→1.5）、白朮（4.5→1.5）、桂枝（3→1）,computed_from_preferred_composition_versions
fvar_7e9f31610a28,can_eaa4fac2c8,通脈四逆湯,can_4bd7a9684a,四逆湯,named_dose_strengthened_variant,variant_of,taxonomy_variant_alias,四逆湯方：甘草二兩、乾薑一兩半、附子一枚；通脈四逆湯方：甘草二兩、附子大者一枚、乾薑三兩，強人可四兩。,,mb_shanghan,0.98,0.98,H_master_v2_relation,,,do_not_merge; preserve canonical nodes; use relation for family navigation,,,附子:一枚->大者一枚；乾薑:一兩半->三兩,劑量／炮製調整：附子（一枚→大者一枚）、乾薑（一兩半→三兩）,computed_from_preferred_composition_versions
fvar_4c3471a274d6,can_78057b3b1b,通脈四逆加豬膽汁湯,can_eaa4fac2c8,通脈四逆湯,named_variant_add_herb,variant_of,taxonomy_variant_alias,通脈四逆加豬膽汁湯方：甘草、乾薑、附子、豬膽汁半合。,,mb_shanghan,0.96,0.96,H_master_v2_relation,豬膽汁,,do_not_merge; preserve canonical nodes; use relation for family navigation,豬膽汁,,附子:大者一枚->大者一枚,加：豬膽汁；劑量／炮製調整：附子（大者一枚→大者一枚）,computed_from_preferred_composition_versions
fvar_26a4bc358a64,can_6e13529ee9,茯苓四逆湯,can_4bd7a9684a,四逆湯,named_variant_add_herbs,variant_of,taxonomy_variant_alias,茯苓四逆湯方含茯苓、人參、附子、甘草、乾薑；相對四逆湯多茯苓、人參。,,mb_shanghan,0.96,0.96,H_master_v2_relation,,,do_not_merge; preserve canonical nodes; use relation for family navigation,茯苓、人參,,,加：茯苓、人參,computed_from_preferred_composition_versions
fvar_79cdf1c7cedf,can_32a7831dff,桂枝救逆湯,can_2849adeebb,桂枝湯,named_variant,variant_of,taxonomy_variant_alias,火邪者，桂枝去芍藥加蜀漆牡蠣龍骨救逆湯主之；桂枝救逆湯方。外部宋本與醫砭對照確認為桂枝湯去芍藥，加蜀漆、牡蠣、龍骨。,,mb_jingui,0.96,0.96,H_master_v2_relation,,,do_not_merge; preserve canonical nodes; use relation for family navigation,牡蠣、龍骨、蜀漆,芍藥,,加：牡蠣、龍骨、蜀漆；去：芍藥,computed_from_preferred_composition_versions
fvar_d117b8292ae3,can_98480251f0,四逆加人參湯,can_4bd7a9684a,四逆湯,named_variant_add_herb,variant_of,taxonomy_variant_alias,四逆加人參湯,,mb_shanghan,0.96,0.96,H_master_v2_relation,人參,,do_not_merge; preserve canonical nodes; use relation for family navigation,人參,,附子:一枚->一枚,加：人參；劑量／炮製調整：附子（一枚→一枚）,computed_from_preferred_composition_versions
fvar_15239bdc44e6,can_239d9dd90c,六味地黃丸,can_ddf23de8f1,六味地黃丸+黃連阿膠湯,component_of_combo,component_of_combo,explicit_or_seed_relation,六味地黃丸 是不寐陰虛火旺合方的一部分,,v146_graph,high,0.9,H_master_v2_relation,,,do_not_merge; preserve canonical nodes; use relation for family navigation,,芍藥、阿膠、雞子黃、黃芩、黃連,,去：芍藥、阿膠、雞子黃、黃芩、黃連,computed_from_preferred_composition_versions
fvar_a1d63bead7dd,can_8f60eaf66d,四逆散去柴胡加旋覆花代赭石,can_6e63275c1f,四逆散,formula_variant_of,variant_of,taxonomy_variant_alias,四逆散去柴胡加旋覆花代赭石以四逆散為母方。,,v146_graph,high,0.9,H_master_v2_relation,旋覆花代赭石,柴胡,do_not_merge; preserve canonical nodes; use relation for family navigation,代赭石、旋覆花、旋覆花代赭石,柴胡,,加：代赭石、旋覆花、旋覆花代赭石；去：柴胡,computed_from_preferred_composition_versions
fvar_c379a8d530ed,can_8f60eaf66d,四逆散去柴胡加旋覆花代赭石,can_6e63275c1f,四逆散,has_formula_variant,variant_of,taxonomy_variant_alias,四逆散去柴胡加旋覆花代赭石為四逆散加減。,,v146_graph,high,0.9,H_master_v2_relation,旋覆花代赭石,柴胡,do_not_merge; preserve canonical nodes; use relation for family navigation,代赭石、旋覆花、旋覆花代赭石,柴胡,,加：代赭石、旋覆花、旋覆花代赭石；去：柴胡,computed_from_preferred_composition_versions
fvar_693ff34aea77,can_cea0605525,溫膽湯加川連銀花,can_1058a353ca,溫膽湯,formula_variant_of,variant_of,taxonomy_variant_alias,溫膽湯加川連銀花以溫膽湯為母方。,,v146_graph,high,0.9,H_master_v2_relation,川連銀花,,do_not_merge; preserve canonical nodes; use relation for family navigation,金銀花、黃連、川連銀花,,,加：金銀花、黃連、川連銀花,computed_from_preferred_composition_versions
fvar_b6119eb0e0c1,can_cea0605525,溫膽湯加川連銀花,can_1058a353ca,溫膽湯,has_formula_variant,variant_of,taxonomy_variant_alias,溫膽湯加川連銀花為溫膽湯加味。,,v146_graph,high,0.9,H_master_v2_relation,川連銀花,,do_not_merge; preserve canonical nodes; use relation for family navigation,金銀花、黃連、川連銀花,,,加：金銀花、黃連、川連銀花,computed_from_preferred_composition_versions
