book,section_id,parent_section_id,level,section_title,page_start,page_end,question_count,pdf_marker_count
shanghan,pdfsec_shanghan_b21dd74f90,,1,概論,1,2,9,3
shanghan,pdfsec_shanghan_b7c794a445,,1,第一章 辨太陽病脈證並治,3,61,499,168
shanghan,pdfsec_shanghan_8d3ae8c78f,pdfsec_shanghan_b7c794a445,2,概說,3,3,0,0
shanghan,pdfsec_shanghan_39ef9ee4ac,pdfsec_shanghan_b7c794a445,2,第一節 太陽病綱要,3,4,6,2
shanghan,pdfsec_shanghan_4914c10cc8,pdfsec_shanghan_39ef9ee4ac,3,一、太陽病脈證提綱,3,3,0,0
shanghan,pdfsec_shanghan_279f3884c8,pdfsec_shanghan_39ef9ee4ac,3,二、太陽病分類,3,3,6,2
shanghan,pdfsec_shanghan_fbc1348b8d,pdfsec_shanghan_39ef9ee4ac,3,三、辨病發於陽、病發於陰,4,4,0,0
shanghan,pdfsec_shanghan_9c8cdb0768,pdfsec_shanghan_39ef9ee4ac,3,四、辨傳辨與欲解時,4,4,0,0
shanghan,pdfsec_shanghan_bbf2165f04,pdfsec_shanghan_b7c794a445,2,第二節 太陽病本證,5,22,167,56
shanghan,pdfsec_shanghan_bb14f4b849,pdfsec_shanghan_bbf2165f04,3,一、中風表虛證,5,13,89,29
shanghan,pdfsec_shanghan_cd242366d4,pdfsec_shanghan_bb14f4b849,4,桂枝湯證,5,5,0,0
shanghan,pdfsec_shanghan_1df6a03e5e,pdfsec_shanghan_bb14f4b849,4,桂枝湯禁例,5,5,0,0
shanghan,pdfsec_shanghan_a44f566cdb,pdfsec_shanghan_bb14f4b849,4,兼證,6,6,0,0
shanghan,pdfsec_shanghan_72083a7b6b,pdfsec_shanghan_bb14f4b849,4,中風表虛證方劑整理,6,13,89,29
shanghan,pdfsec_shanghan_0082773a75,pdfsec_shanghan_bbf2165f04,3,二、傷寒表實證,14,20,63,22
shanghan,pdfsec_shanghan_a631c54b84,pdfsec_shanghan_0082773a75,4,麻黃湯證,14,14,0,0
shanghan,pdfsec_shanghan_7087ae58fb,pdfsec_shanghan_0082773a75,4,麻黃湯禁例,14,14,0,0
shanghan,pdfsec_shanghan_50c90d10f4,pdfsec_shanghan_0082773a75,4,麻黃湯兼證,15,15,0,0
shanghan,pdfsec_shanghan_04053d4039,pdfsec_shanghan_0082773a75,4,傷寒表實證方劑整理,15,20,63,22
shanghan,pdfsec_shanghan_3722e89e4c,pdfsec_shanghan_bbf2165f04,3,三、表鬱輕症,21,22,15,5
shanghan,pdfsec_shanghan_a37d3b6640,pdfsec_shanghan_b7c794a445,2,第三節 太陽病兼變證,23,57,305,102
shanghan,pdfsec_shanghan_ac4b2a9ef3,pdfsec_shanghan_a37d3b6640,3,一、變證治則,23,23,0,0
shanghan,pdfsec_shanghan_dc263a0e42,pdfsec_shanghan_a37d3b6640,3,二、辨虛證實證,23,23,0,0
shanghan,pdfsec_shanghan_b2a18c12c8,pdfsec_shanghan_a37d3b6640,3,三、辨寒熱真假,23,23,6,2
shanghan,pdfsec_shanghan_f722c31ed9,pdfsec_shanghan_a37d3b6640,3,四、辨汗下先後,24,25,9,3
shanghan,pdfsec_shanghan_1b03ed9af6,pdfsec_shanghan_a37d3b6640,3,五、熱證,26,30,33,11
shanghan,pdfsec_shanghan_b32797578b,pdfsec_shanghan_1b03ed9af6,4,梔子鼓湯類證,26,26,0,0
shanghan,pdfsec_shanghan_1a9e4c5c6e,pdfsec_shanghan_1b03ed9af6,4,麻黃杏仁甘草石膏湯證,26,26,0,0
shanghan,pdfsec_shanghan_9fe41199d0,pdfsec_shanghan_1b03ed9af6,4,白虎加人參湯證,26,26,0,0
shanghan,pdfsec_shanghan_852a5fd5ba,pdfsec_shanghan_1b03ed9af6,4,葛根芩連湯證,26,26,0,0
shanghan,pdfsec_shanghan_b44ff3420c,pdfsec_shanghan_1b03ed9af6,4,黃芩湯與黃芩加半夏生薑湯證,26,26,0,0
shanghan,pdfsec_shanghan_adbb079e5c,pdfsec_shanghan_1b03ed9af6,4,熱證方劑整理,26,30,33,11
shanghan,pdfsec_shanghan_312a396441,pdfsec_shanghan_a37d3b6640,3,六、虛寒證,31,36,68,22
shanghan,pdfsec_shanghan_46ef0c7d35,pdfsec_shanghan_312a396441,4,心陽虛,31,31,0,0
shanghan,pdfsec_shanghan_15be48fddc,pdfsec_shanghan_312a396441,4,陽虛兼水氣證,31,31,0,0
shanghan,pdfsec_shanghan_787e8f2493,pdfsec_shanghan_312a396441,4,脾虛證,31,31,0,0
shanghan,pdfsec_shanghan_53d5980958,pdfsec_shanghan_312a396441,4,腎陽虛,31,31,0,0
shanghan,pdfsec_shanghan_3509913183,pdfsec_shanghan_312a396441,4,虛寒證方劑整理,32,36,68,22
shanghan,pdfsec_shanghan_ff90c396f8,pdfsec_shanghan_a37d3b6640,3,七、陰陽兩虛證,37,38,6,2
shanghan,pdfsec_shanghan_702b8bdeb0,pdfsec_shanghan_ff90c396f8,4,甘草乾薑湯證、芍藥甘草湯證,37,37,0,0
shanghan,pdfsec_shanghan_ca05f3147b,pdfsec_shanghan_ff90c396f8,4,芍藥甘草附子湯證,37,37,0,0
shanghan,pdfsec_shanghan_ac5f8c093b,pdfsec_shanghan_ff90c396f8,4,炙甘草湯證,37,37,0,0
shanghan,pdfsec_shanghan_cf39c2e974,pdfsec_shanghan_ff90c396f8,4,陰陽兩虛證方劑整理,37,38,6,2
shanghan,pdfsec_shanghan_024befef2f,pdfsec_shanghan_a37d3b6640,3,八、蓄水證,39,41,30,10
shanghan,pdfsec_shanghan_6fd114b90c,pdfsec_shanghan_a37d3b6640,3,九、蓄血證,42,44,30,10
shanghan,pdfsec_shanghan_bd691d91b3,pdfsec_shanghan_a37d3b6640,3,十、結胸證,45,48,42,14
shanghan,pdfsec_shanghan_790e29d0fe,pdfsec_shanghan_bd691d91b3,4,結胸證辨,45,45,0,0
shanghan,pdfsec_shanghan_f6e0e8b4a5,pdfsec_shanghan_bd691d91b3,4,熱實結胸,45,45,0,0
shanghan,pdfsec_shanghan_be6e7cf6e2,pdfsec_shanghan_bd691d91b3,4,寒實結胸,45,45,0,0
shanghan,pdfsec_shanghan_5771c0f5c7,pdfsec_shanghan_bd691d91b3,4,結胸證方劑整理,46,48,42,14
shanghan,pdfsec_shanghan_e6fe01cbff,pdfsec_shanghan_a37d3b6640,3,十一、臟結證,49,49,9,3
shanghan,pdfsec_shanghan_4496c1e16a,pdfsec_shanghan_a37d3b6640,3,十二、痞證,50,54,57,19
shanghan,pdfsec_shanghan_5160994ead,pdfsec_shanghan_4496c1e16a,4,痞證的形成,50,50,0,0
shanghan,pdfsec_shanghan_cfd5b8a506,pdfsec_shanghan_4496c1e16a,4,大黃黃連瀉心湯證,50,50,0,0
