section_id,book_id,source_id,parent_section_id,level,section_title,page_start,page_end,order_index,source_ref_id,source_specific_id,confidence,notes
diag_sec__diagnosis_sec_001,diagnosis,phase2_initial,,1,緒論(部分承啟版內容),,,1,,diagnosis_sec_001,medium,Phase2 initial section seed; for Phase4 QA
diag_sec__diagnosis_sec_002,diagnosis,phase2_initial,,1,第一篇：四診,,,2,,diagnosis_sec_002,medium,Phase2 initial section seed; for Phase4 QA
diag_sec__diagnosis_sec_003,diagnosis,phase2_initial,,2,第一章：望診,,,3,,diagnosis_sec_003,medium,Phase2 initial section seed; for Phase4 QA
diag_sec__diagnosis_sec_004,diagnosis,phase2_initial,,2,第二章：聞診,,,4,,diagnosis_sec_004,medium,Phase2 initial section seed; for Phase4 QA
diag_sec__diagnosis_sec_005,diagnosis,phase2_initial,,2,第三章：問診,,,5,,diagnosis_sec_005,medium,Phase2 initial section seed; for Phase4 QA
diag_sec__diagnosis_sec_006,diagnosis,phase2_initial,,2,第四章：切診,,,6,,diagnosis_sec_006,medium,Phase2 initial section seed; for Phase4 QA
diag_sec__diagnosis_sec_007,diagnosis,phase2_initial,,1,第二篇：八綱,,,7,,diagnosis_sec_007,medium,Phase2 initial section seed; for Phase4 QA
diag_sec__diagnosis_sec_008,diagnosis,phase2_initial,,2,第一章：陰陽,,,8,,diagnosis_sec_008,medium,Phase2 initial section seed; for Phase4 QA
diag_sec__diagnosis_sec_009,diagnosis,phase2_initial,,2,第二章：表裡,,,9,,diagnosis_sec_009,medium,Phase2 initial section seed; for Phase4 QA
diag_sec__diagnosis_sec_010,diagnosis,phase2_initial,,2,第三章：寒熱,,,10,,diagnosis_sec_010,medium,Phase2 initial section seed; for Phase4 QA
diag_sec__diagnosis_sec_011,diagnosis,phase2_initial,,2,第四章：虛實,,,11,,diagnosis_sec_011,medium,Phase2 initial section seed; for Phase4 QA
diag_sec__diagnosis_sec_012,diagnosis,phase2_initial,,1,第三篇：證候分類,,,12,,diagnosis_sec_012,medium,Phase2 initial section seed; for Phase4 QA
diag_sec__diagnosis_sec_013,diagnosis,phase2_initial,,2,第一章：氣血辨證,,,13,,diagnosis_sec_013,medium,Phase2 initial section seed; for Phase4 QA
diag_sec__diagnosis_sec_014,diagnosis,phase2_initial,,2,第二章：臟腑辨證,,,14,,diagnosis_sec_014,medium,Phase2 initial section seed; for Phase4 QA
diag_sec__diagnosis_sec_015,diagnosis,phase2_initial,,2,第三章：六淫與痰食辨證,,,15,,diagnosis_sec_015,medium,Phase2 initial section seed; for Phase4 QA
diag_sec__diagnosis_sec_016,diagnosis,phase2_initial,,2,第四章：傷寒與溫病辨證,,,16,,diagnosis_sec_016,medium,Phase2 initial section seed; for Phase4 QA
diag_sec__diagnosis_sec_017,diagnosis,phase2_initial,,2,第五章：經絡辨證,,,17,,diagnosis_sec_017,medium,Phase2 initial section seed; for Phase4 QA
diag_sec__diagnosis_sec_018,diagnosis,phase2_initial,,2,第六章：其他辨證分類(承啟版內容：疫癘、七情、外傷),,,18,,diagnosis_sec_018,medium,Phase2 initial section seed; for Phase4 QA
diag_sec__diagnosis_sec_019,diagnosis,phase2_initial,,1,第四篇：診斷與病案(承啟版內容),,,19,,diagnosis_sec_019,medium,Phase2 initial section seed; for Phase4 QA
diag_sec__diagnosis_sec_020,diagnosis,phase2_initial,,2,其他（無法歸類者）,,,20,,diagnosis_sec_020,medium,Phase2 initial section seed; for Phase4 QA
mb_sec__jingui__sec_topic_ch_01_a8895c4be225_01_1ca03cfe0614_001_4d69dbdf62ef,mb_jingui,multibook_v033,,source_text,原文,"[7, 9, 10, 11]",,1,src_multibook_v033_0000355,jingui__sec_topic_ch_01_a8895c4be225_01_1ca03cfe0614_001_4d69dbdf62ef,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_02_a30bfdc0a2d2_01_9bab655ba24b_001_0b3d9b3e5ecd,mb_jingui,multibook_v033,,etiology,成因,[12],,1,src_multibook_v033_0000356,jingui__sec_topic_ch_02_a30bfdc0a2d2_01_9bab655ba24b_001_0b3d9b3e5ecd,medium,multibook section seed
