canonical_id,canonical_name,canonical_entity_type,canonical_key,member_count,source_ids,book_ids,original_names,canonical_confidence,autolink_policy,phase4_status,notes,aliases,alias_count,review_reasons,review_priority,review_count,question_event_count,unique_question_count,weighted_event_sum,location_count__answer,location_count__distractor,location_count__other,location_count__seed_linked,location_count__seed_matched,location_count__stem,section_event_count,unique_section_count,out_relation_count,in_relation_count,master_v2_source,question_event_count_v2,unique_question_count_v2,location_v2__answer,location_v2__distractor,location_v2__source_note,location_v2__stem,display_component_count,component_formula_count_v2
can_0f210c1c72,發熱,diagnostic_feature,diagnostic_feature::發熱,6,formal_exam|multibook_v033|phase2_refined|tcm_v146|wenbing_v044,diagnosis|exam098_115|mb_jingui|mb_shanghan|v146_graph|wenbing,發熱,high_or_seeded,normal,merged_exact_or_alias,,,0,,,0,394.0,386.0,449.0,15.0,50.0,258.0,0.0,0.0,71.0,74.0,74.0,13.0,91.0,phase5_entities_with_H_recomputed_counts,425.0,386.0,55.0,171.0,0.0,199.0,0,0
can_59ea04c19a,汗出,diagnostic_feature,diagnostic_feature::汗出,5,formal_exam|multibook_v033|phase2_refined|tcm_v146,diagnosis|exam098_115|mb_jingui|mb_shanghan|v146_graph,汗出,high_or_seeded,normal,merged_exact_or_alias,,,0,,,0,305.0,298.0,349.0,13.0,36.0,211.0,0.0,0.0,45.0,59.0,59.0,7.0,5.0,phase5_entities_with_H_recomputed_counts,329.0,298.0,50.0,123.0,0.0,156.0,0,0
can_4cd420301e,傷寒論,diagnostic_feature,diagnostic_feature::傷寒論,1,multibook_v033,mb_shanghan,傷寒論,medium_or_event_seeded,normal,single_source_entity,,,0,,,0,271.0,269.0,284.0,4.0,10.0,0.0,0.0,0.0,257.0,79.0,79.0,5.0,5.0,phase5_entities_with_H_recomputed_counts,271.0,269.0,4.0,10.0,0.0,257.0,0,0
can_ed8de27cd3,咳嗽,diagnostic_feature,diagnostic_feature::咳嗽,5,formal_exam|phase2_refined|tcm_v146|wenbing_v044,diagnosis|exam098_115|v146_graph|wenbing,咳嗽,high_or_seeded,normal,merged_exact_or_alias,,,0,,,0,220.0,219.0,231.0,2.0,14.0,132.0,0.0,0.0,72.0,27.0,27.0,11.0,83.0,phase5_entities_with_H_recomputed_counts,244.0,219.0,16.0,48.0,0.0,180.0,0,0
can_a6f1fdef18,惡寒,diagnostic_feature,diagnostic_feature::惡寒,6,formal_exam|multibook_v033|phase2_refined|tcm_v146|wenbing_v044,diagnosis|exam098_115|mb_jingui|mb_shanghan|v146_graph|wenbing,惡寒,high_or_seeded,normal,merged_exact_or_alias,,,0,,,0,203.0,198.0,235.0,11.0,20.0,130.0,0.0,0.0,42.0,34.0,34.0,7.0,63.0,phase5_entities_with_H_recomputed_counts,217.0,198.0,34.0,68.0,0.0,115.0,0,0
can_94e9b4da8b,頭痛,disease,disease::頭痛,2,formal_exam|tcm_v146,exam098_115|v146_graph,頭痛,high_or_seeded,normal,merged_exact_or_alias,,,0,,,0,188.0,188.0,188.0,0.0,0.0,188.0,0.0,0.0,0.0,0.0,0.0,8.0,24.0,phase5_entities_with_H_recomputed_counts,248.0,188.0,18.0,79.0,0.0,151.0,0,0
can_f03d816d7e,口渴,diagnostic_feature,diagnostic_feature::口渴,4,formal_exam|phase2_refined|tcm_v146|wenbing_v044,diagnosis|exam098_115|v146_graph|wenbing,口渴,high_or_seeded,normal,merged_exact_or_alias,,,0,,,0,190.0,187.0,210.5,6.0,17.0,126.0,0.0,0.0,41.0,30.0,30.0,10.0,14.0,phase5_entities_with_H_recomputed_counts,194.0,187.0,20.0,48.0,0.0,126.0,0,0
can_2849adeebb,桂枝湯,formula,formula::桂枝湯,6,formal_exam|multibook_v033|tcm_v146,exam098_115|mb_jingui|mb_shanghan|v146_graph,桂枝湯,high_or_seeded,normal,merged_exact_or_alias,,桂枝湯｜桂枝湯【金匱｜桂枝湯【傷寒,3,,,0,201.0,184.0,260.5,17.0,51.0,89.0,30.0,0.0,14.0,21.0,21.0,34.0,51.0,phase5_entities_with_H_recomputed_counts,221.0,184.0,38.0,110.0,30.0,43.0,0,0
can_b3e1f55524,嘔吐,diagnostic_feature,diagnostic_feature::嘔吐,4,formal_exam|multibook_v033|phase2_refined|tcm_v146,diagnosis|exam098_115|mb_jingui|v146_graph,嘔吐,high_or_seeded,normal,merged_exact_or_alias,,,0,,,0,184.0,177.0,208.0,7.0,20.0,113.0,0.0,0.0,44.0,28.0,28.0,6.0,4.0,phase5_entities_with_H_recomputed_counts,203.0,177.0,21.0,59.0,0.0,123.0,0,0
can_0581c9629e,胸悶,diagnostic_feature,diagnostic_feature::胸悶,4,formal_exam|phase2_refined|tcm_v146|wenbing_v044,diagnosis|exam098_115|v146_graph|wenbing,胸悶,high_or_seeded,normal,merged_exact_or_alias,,,0,,,0,172.0,172.0,180.0,2.0,8.0,107.0,0.0,0.0,55.0,19.0,19.0,12.0,6.0,phase5_entities_with_H_recomputed_counts,173.0,172.0,8.0,29.0,0.0,136.0,0,0
can_7ddcb69ca0,舌紅,diagnostic_feature,diagnostic_feature::舌紅,4,formal_exam|phase2_refined|tcm_v146|wenbing_v044,diagnosis|exam098_115|v146_graph|wenbing,舌紅,high_or_seeded,normal,merged_exact_or_alias,,,0,,,0,164.0,163.0,173.5,3.0,7.0,108.0,0.0,0.0,46.0,19.0,19.0,22.0,126.0,phase5_entities_with_H_recomputed_counts,171.0,163.0,9.0,27.0,0.0,135.0,0,0
can_4d348ddc92,脈浮,diagnostic_feature,diagnostic_feature::脈浮,6,formal_exam|multibook_v033|phase2_refined|tcm_v146,diagnosis|exam098_115|mb_jingui|mb_shanghan|v146_graph,脈浮,high_or_seeded,normal,merged_exact_or_alias,,,0,,,0,163.0,161.0,186.0,7.0,18.0,111.0,0.0,0.0,27.0,24.0,24.0,10.0,60.0,phase5_entities_with_H_recomputed_counts,179.0,161.0,27.0,66.0,0.0,86.0,0,0
can_a1743518c5,心煩,diagnostic_feature,diagnostic_feature::心煩,5,formal_exam|multibook_v033|phase2_refined|tcm_v146|wenbing_v044,diagnosis|exam098_115|mb_shanghan|v146_graph|wenbing,心煩,high_or_seeded,normal,merged_exact_or_alias,,,0,,,0,162.0,161.0,180.5,5.0,17.0,103.0,0.0,0.0,37.0,28.0,28.0,11.0,85.0,phase5_entities_with_H_recomputed_counts,164.0,161.0,11.0,45.0,0.0,108.0,0,0
can_4ec3299305,五苓散,formula,formula::五苓散,5,formal_exam|multibook_v033|tcm_v146,exam098_115|mb_jingui|mb_shanghan|v146_graph,五苓散,high_or_seeded,normal,merged_exact_or_alias,,五苓散｜五苓散【金匱｜五苓散【傷寒,3,,,0,173.0,153.0,247.5,26.0,45.0,65.0,22.0,0.0,15.0,16.0,16.0,36.0,38.0,phase5_entities_with_H_recomputed_counts,181.0,153.0,45.0,82.0,22.0,32.0,0,0
can_d5cc434e59,頭痛,diagnostic_feature,diagnostic_feature::頭痛,6,formal_exam|multibook_v033|phase2_refined|tcm_v146|wenbing_v044,diagnosis|exam098_115|mb_jingui|mb_shanghan|v146_graph|wenbing,頭痛,high_or_seeded,normal,merged_exact_or_alias,,,0,,,0,153.0,153.0,153.0,0.0,0.0,153.0,0.0,0.0,0.0,0.0,0.0,4.0,69.0,phase5_entities_with_H_recomputed_counts,211.0,153.0,18.0,74.0,0.0,119.0,0,0
can_07387fa060,咳嗽,disease,disease::咳嗽,2,formal_exam|tcm_v146,exam098_115|v146_graph,咳嗽,high_or_seeded,normal,merged_exact_or_alias,,,0,,,0,152.0,152.0,152.0,0.0,0.0,152.0,0.0,0.0,0.0,0.0,0.0,8.0,33.0,phase5_entities_with_H_recomputed_counts,180.0,152.0,16.0,40.0,0.0,124.0,0,0
can_eff0d6b1d4,心悸,disease,disease::心悸,2,formal_exam|tcm_v146,exam098_115|v146_graph,心悸,high_or_seeded,normal,merged_exact_or_alias,,驚悸｜怔忡,2,,,0,152.0,152.0,152.0,0.0,0.0,152.0,0.0,0.0,0.0,0.0,0.0,9.0,29.0,phase5_entities_with_H_recomputed_counts,179.0,152.0,12.0,43.0,0.0,124.0,0,0
